label,class,fun_grp
BacAstfor_3192686,Bac,VI
CyaWornae_3217010,Cya,VII
CyaDollem_7901634,Cya,III
BacAul000_3191984,Bac,VI
BacFracro_3192403,Bac,VI
BacSyn000_3192703,Bac,VI
RapGonsem_3194431,Rap,V
ConSta000_2647648,Con,IV
Chlcolony_0000000,Chl,I
DinCerhir_7598904,Din,V
ChrDin000_3194946,Chr,II
FILAMENTS,FIL,III
BacTabflo_3195704,Bac,VI
ChlPed000_2641883,Chl,IV
ZygClo000_2646356,Zyg,IV
ZygCloacu_2646408,Zyg,IV
ChlEud000_0000000,Chl,VII
BacTabfen_8259415,Bac,VI
CyaPla000_3218374,Cya,III
CyaMic000_3217749,Cya,VII
BacTab000_3195700,Bac,VI
ChlAst000_2639495,Chl,I
ChrSyn000_0000000,Chr,II
BacMel000_3193964,Bac,VI
BacGom000_7592153,Bac,VI
BacGyr000_7826612,Bac,VI
ChrMal000_3195066,Chr,II
ChlDes000_2652440,Chl,IV
ZygCos000_2648709,Zyg,IV
ChlSel000_0000000,Chl,IV
BacAca000_0000000,Bac,VI
BacDip000_0000000,Bac,VI
